image_name,absolute_path,label
z7_000017_08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000017_08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab
z7_000018_095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000018_095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab
z7_000019_09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000019_09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,Apple___Apple_scab
z7_000020_09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000020_09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab
z7_000021_0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000021_0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,Apple___Apple_scab
z7_000022_0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000022_0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,Apple___Apple_scab
z7_000023_0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000023_0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,Apple___Apple_scab
z7_000024_0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000024_0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,Apple___Apple_scab
z7_000025_0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000025_0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,Apple___Apple_scab
z7_000026_0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000026_0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,Apple___Apple_scab
z7_000027_0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000027_0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,Apple___Apple_scab
z7_000028_0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000028_0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,Apple___Apple_scab
z7_000029_0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000029_0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple___Apple_scab
z7_000030_0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000030_0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,Apple___Apple_scab
z7_000031_10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000031_10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,Apple___Apple_scab
z7_000032_106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000032_106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,Apple___Apple_scab
z7_000033_11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000033_11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG,Apple___Apple_scab
z7_000034_11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000034_11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,Apple___Apple_scab
z7_000035_13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000035_13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple___Apple_scab
z7_000036_13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000036_13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,Apple___Apple_scab
z7_000037_14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000037_14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple___Apple_scab
z7_000038_1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000038_1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,Apple___Apple_scab
z7_000039_154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000039_154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG,Apple___Apple_scab
z7_000040_15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000040_15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,Apple___Apple_scab
z7_000041_162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000041_162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,Apple___Apple_scab
z7_000042_1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000042_1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG,Apple___Apple_scab
z7_000043_176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000043_176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,Apple___Apple_scab
z7_000044_18e95262-fb0a-472c-93ab-e03138a360dc___FREC_Scab 3366.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000044_18e95262-fb0a-472c-93ab-e03138a360dc___FREC_Scab 3366.JPG,Apple___Apple_scab
z7_000045_18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000045_18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG,Apple___Apple_scab
z7_000046_1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000046_1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG,Apple___Apple_scab
z7_000047_1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000047_1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,Apple___Apple_scab
z7_000048_1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000048_1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,Apple___Apple_scab
z7_000049_1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000049_1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,Apple___Apple_scab
z7_000050_1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000050_1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG,Apple___Apple_scab
z7_000051_1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000051_1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG,Apple___Apple_scab
z7_000052_1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000052_1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,Apple___Apple_scab
z7_000053_1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000053_1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG,Apple___Apple_scab
z7_000054_1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000054_1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,Apple___Apple_scab
z7_000055_1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000055_1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG,Apple___Apple_scab
z7_000056_1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000056_1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG,Apple___Apple_scab
z7_000057_1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000057_1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG,Apple___Apple_scab
z7_000058_1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000058_1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172.JPG,Apple___Apple_scab
z7_000059_1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000059_1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG,Apple___Apple_scab
z7_000060_201d8b27-5a38-43e5-8065-f7fe039ad781___FREC_Scab 3058.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000060_201d8b27-5a38-43e5-8065-f7fe039ad781___FREC_Scab 3058.JPG,Apple___Apple_scab
z7_000061_222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000061_222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239.JPG,Apple___Apple_scab
z7_000062_22c12d6a-3c17-45be-b53b-f17f1b3f5168___FREC_Scab 3206.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000062_22c12d6a-3c17-45be-b53b-f17f1b3f5168___FREC_Scab 3206.JPG,Apple___Apple_scab
z7_000063_23466313-6a2c-46e7-ad89-1f95dd2d3b40___FREC_Scab 3517.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000063_23466313-6a2c-46e7-ad89-1f95dd2d3b40___FREC_Scab 3517.JPG,Apple___Apple_scab
z7_000064_23576562-df0c-46bb-8c50-1bf03412097f___FREC_Scab 3086.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000064_23576562-df0c-46bb-8c50-1bf03412097f___FREC_Scab 3086.JPG,Apple___Apple_scab
z7_000065_2438c1f0-556e-4575-b382-96e17f908e34___FREC_Scab 3230.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000065_2438c1f0-556e-4575-b382-96e17f908e34___FREC_Scab 3230.JPG,Apple___Apple_scab
z7_000066_246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000066_246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091.JPG,Apple___Apple_scab
z7_000067_24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000067_24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533.JPG,Apple___Apple_scab
z7_000068_258ce9eb-2b67-475b-b09c-0bc83b0987f1___FREC_Scab 3033.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000068_258ce9eb-2b67-475b-b09c-0bc83b0987f1___FREC_Scab 3033.JPG,Apple___Apple_scab
z7_000069_25aeb397-bc36-4fe5-affe-6b8195d4f282___FREC_Scab 3494.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000069_25aeb397-bc36-4fe5-affe-6b8195d4f282___FREC_Scab 3494.JPG,Apple___Apple_scab
z7_000070_268a2ad1-d649-4ec0-add3-61cc8f54f479___FREC_Scab 3235.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000070_268a2ad1-d649-4ec0-add3-61cc8f54f479___FREC_Scab 3235.JPG,Apple___Apple_scab
z7_000071_26a31865-1d42-4bd6-8b67-02cbedfd6f64___FREC_Scab 3516.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000071_26a31865-1d42-4bd6-8b67-02cbedfd6f64___FREC_Scab 3516.JPG,Apple___Apple_scab
z7_000072_270dd6be-95f4-4fd1-8423-b698663b3f72___FREC_Scab 2954.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000072_270dd6be-95f4-4fd1-8423-b698663b3f72___FREC_Scab 2954.JPG,Apple___Apple_scab
z7_000073_27338275-3c75-4bbf-8d74-7b90e9d224d3___FREC_Scab 3269.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000073_27338275-3c75-4bbf-8d74-7b90e9d224d3___FREC_Scab 3269.JPG,Apple___Apple_scab
z7_000074_276ed34e-9987-4b38-b83b-8626504fc204___FREC_Scab 3050.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000074_276ed34e-9987-4b38-b83b-8626504fc204___FREC_Scab 3050.JPG,Apple___Apple_scab
z7_000075_2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000075_2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503.JPG,Apple___Apple_scab
z7_000076_2a800c84-902e-4aa8-af13-4e020d6f17dd___FREC_Scab 3124.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000076_2a800c84-902e-4aa8-af13-4e020d6f17dd___FREC_Scab 3124.JPG,Apple___Apple_scab
z7_000077_2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000077_2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG,Apple___Apple_scab
z7_000078_2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000078_2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG,Apple___Apple_scab
z7_000079_2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000079_2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG,Apple___Apple_scab
z7_000080_2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000080_2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG,Apple___Apple_scab
z7_000081_2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000081_2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG,Apple___Apple_scab
z7_000082_2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000082_2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG,Apple___Apple_scab
z7_000083_2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000083_2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507.JPG,Apple___Apple_scab
z7_000084_2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000084_2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG,Apple___Apple_scab
z7_000085_2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000085_2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG,Apple___Apple_scab
z7_000086_2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000086_2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG,Apple___Apple_scab
z7_000087_2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000087_2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG,Apple___Apple_scab
z7_000088_2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000088_2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG,Apple___Apple_scab
z7_000089_2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000089_2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG,Apple___Apple_scab
z7_000090_30111fee-0c22-4ca4-aeb4-ac14a9a5d651___FREC_Scab 3097.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000090_30111fee-0c22-4ca4-aeb4-ac14a9a5d651___FREC_Scab 3097.JPG,Apple___Apple_scab
z7_000091_321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000091_321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG,Apple___Apple_scab
z7_000092_334f8e1a-5989-476e-88f4-8a45c304e12c___FREC_Scab 3035.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000092_334f8e1a-5989-476e-88f4-8a45c304e12c___FREC_Scab 3035.JPG,Apple___Apple_scab
z7_000093_33ebf0dd-f971-4f11-aa93-45df7d55a9ea___FREC_Scab 3182.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000093_33ebf0dd-f971-4f11-aa93-45df7d55a9ea___FREC_Scab 3182.JPG,Apple___Apple_scab
z7_000094_34c2823b-d1c5-4bd8-a5a7-74bdef959e10___FREC_Scab 3484.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000094_34c2823b-d1c5-4bd8-a5a7-74bdef959e10___FREC_Scab 3484.JPG,Apple___Apple_scab
z7_000095_34c37353-8429-499e-bd38-ac7501f79e90___FREC_Scab 3501.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000095_34c37353-8429-499e-bd38-ac7501f79e90___FREC_Scab 3501.JPG,Apple___Apple_scab
z7_000096_3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000096_3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG,Apple___Apple_scab
z7_000097_352a5659-3552-4e94-8333-c3715d38cc27___FREC_Scab 3049.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000097_352a5659-3552-4e94-8333-c3715d38cc27___FREC_Scab 3049.JPG,Apple___Apple_scab
z7_000098_35694cb9-efe9-441a-a810-13e065de7925___FREC_Scab 3320.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000098_35694cb9-efe9-441a-a810-13e065de7925___FREC_Scab 3320.JPG,Apple___Apple_scab
z7_000099_35fde58e-46ea-4d1b-9580-ead7a2d0cb3b___FREC_Scab 2952.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000099_35fde58e-46ea-4d1b-9580-ead7a2d0cb3b___FREC_Scab 2952.JPG,Apple___Apple_scab
