crop,disease,severity,frequency,probability,season,treatment,pesticide
Mango,Anthracnose,High,430,0.76,Monsoon,Apply carbendazim at flowering,Carbendazim 50WP @ 1g/L
Mango,Powdery Mildew,Medium,295,0.55,Winter,Apply sulphur dust at panicle emergence,Wettable Sulphur 80WP @ 3g/L
Mango,Healthy,None,0,0.00,Any,No treatment needed,None
Pepper,Bacterial Spot,High,395,0.70,Monsoon,Apply copper bactericide; avoid overhead irrigation,Copper Hydroxide 77WP @ 3g/L
Pepper,Phytophthora Blight,High,360,0.65,Monsoon,Improve drainage; apply metalaxyl,Metalaxyl 25WP @ 2g/L
Pepper,Healthy,None,0,0.00,Any,No treatment needed,None
Soybean,Bacterial Pustule,Medium,265,0.50,Monsoon,Apply copper fungicide; avoid crop rotation,Copper Oxychloride 50WP @ 3g/L
Soybean,Frogeye Leaf Spot,Medium,235,0.45,Summer,Apply thiophanate-methyl; use resistant varieties,Thiophanate-methyl 70WP @ 1g/L
Soybean,Healthy,None,0,0.00,Any,No treatment needed,None
Groundnut,Cercospora Leaf Spot,High,410,0.72,Monsoon,Apply mancozeb at 30 days after sowing,Mancozeb 75WP @ 2g/L
Groundnut,Rust,High,380,0.68,Monsoon,Apply triadimefon; spray at initial infection,Triadimefon 25WP @ 1g/L
Groundnut,Healthy,None,0,0.00,Any,No treatment needed,None
Cotton,Leaf Curl Virus,High,480,0.80,Any,Control whitefly vectors; use resistant varieties,Thiamethoxam 25WG @ 0.3g/L
Cotton,Bacterial Blight,High,420,0.74,Monsoon,Apply streptomycin; use treated seeds,Streptomycin Sulphate @ 200ppm
Cotton,Healthy,None,0,0.00,Any,No treatment needed,None
Onion,Purple Blotch,High,395,0.70,Monsoon,Apply mancozeb; ensure good drainage,Mancozeb 75WP @ 2g/L
Onion,Downy Mildew,Medium,295,0.55,Humid,Apply metalaxyl+mancozeb; avoid overhead irrigation,Metalaxyl 8%+Mancozeb 64WP @ 2g/L
Onion,Healthy,None,0,0.00,Any,No treatment needed,None
Chickpea,Ascochyta Blight,High,365,0.65,Winter,Apply chlorothalonil at first sign,Chlorothalonil 75WP @ 2g/L
Chickpea,Fusarium Wilt,High,340,0.62,Any,Use resistant varieties; soil treatment,Carbendazim 50WP soil drench @ 1g/L
Chickpea,Healthy,None,0,0.00,Any,No treatment needed,None
Cauliflower,Black Rot,High,345,0.62,Monsoon,Apply copper bactericide; use hot-water seed treatment,Copper Hydroxide 77WP @ 3g/L
Cauliflower,Downy Mildew,Medium,280,0.52,Humid,Apply metalaxyl; improve air circulation,Metalaxyl 25WP @ 2g/L
Cauliflower,Healthy,None,0,0.00,Any,No treatment needed,None
Cabbage,Club Root,High,315,0.58,Monsoon,Lime soil to pH 7; use disease-free transplants,No effective fungicide; lime application
Cabbage,Alternaria Leaf Spot,Medium,255,0.48,Humid,Apply iprodione; practice crop rotation,Iprodione 50WP @ 1.5g/L
Cabbage,Healthy,None,0,0.00,Any,No treatment needed,None
Coffee,Leaf Rust,High,445,0.78,Monsoon,Apply copper fungicide; prune for airflow,Copper Oxychloride 50WP @ 3g/L
Coffee,Berry Borer,High,390,0.70,Post-monsoon,Spray Beauveria bassiana; use alcohol traps,Beauveria bassiana @ 5g/L
Coffee,Healthy,None,0,0.00,Any,No treatment needed,None
Tea,Blister Blight,High,430,0.76,Monsoon,Apply copper oxychloride; shade pruning,Copper Oxychloride 50WP @ 3g/L
Tea,Red Spider Mite,Medium,310,0.58,Summer,Apply dicofol or abamectin,Abamectin 1.8EC @ 0.5ml/L
Tea,Healthy,None,0,0.00,Any,No treatment needed,None
Sugarcane,Red Rot,High,415,0.74,Monsoon,Use healthy setts; apply Trichoderma,Carbendazim 50WP @ 1g/L
Sugarcane,Wilt,High,355,0.63,Any,Use disease-free planting material; hot-water treatment,Hot water treatment at 50°C for 2 hours
Sugarcane,Healthy,None,0,0.00,Any,No treatment needed,None
Coconut,Bud Rot,High,400,0.72,Monsoon,Apply Bordeaux mixture in crown,Bordeaux Mixture @ 1% concentration
Coconut,Leaf Blight,Medium,280,0.52,Summer,Apply copper fungicide; remove dead leaves,Copper Oxychloride 50WP @ 3g/L
Coconut,Healthy,None,0,0.00,Any,No treatment needed,None
Lentil,Rust,High,340,0.62,Winter,Apply mancozeb at early stage,Mancozeb 75WP @ 2g/L
Lentil,Stemphylium Blight,Medium,265,0.50,Humid,Apply iprodione; avoid dense planting,Iprodione 50WP @ 1.5g/L
Lentil,Healthy,None,0,0.00,Any,No treatment needed,None
Capsicum,Anthracnose,High,360,0.65,Monsoon,Apply carbendazim; harvest regularly,Carbendazim 50WP @ 1g/L
Capsicum,Healthy,None,0,0.00,Any,No treatment needed,None
Brinjal,Phomopsis Blight,High,330,0.60,Monsoon,Apply copper oxychloride; remove infected parts,Copper Oxychloride 50WP @ 3g/L
Brinjal,Healthy,None,0,0.00,Any,No treatment needed,None
Peas,Powdery Mildew,High,370,0.66,Winter,Apply sulphur dust at first sign,Wettable Sulphur 80WP @ 3g/L
Peas,Healthy,None,0,0.00,Any,No treatment needed,None
Spinach,Downy Mildew,Medium,250,0.47,Humid,Apply metalaxyl; ensure spacing,Metalaxyl 25WP @ 2g/L
Spinach,Healthy,None,0,0.00,Any,No treatment needed,None
